layer,arch,sparsity,q_alive,n_dead,n_pairs,n_clip_raw,seed,rho_cos_ztz,rho_cos_ratio,rho_cos_l0,rho_raw_ztz
12,relu,20,12398,3986,199588,0,0,0.24065352508865248,0.25724066411446367,0.14087386117686412,0.2406535253698004
12,relu,40,6851,9533,199481,0,0,0.3380378409382105,0.28807686028395924,0.2891834462553778,0.3380378395541127
12,relu,80,4585,11799,199894,0,0,0.3929881008501893,0.30680720161377584,0.36530259652196395,0.3929881016659617
12,topk,20,7188,9196,200000,0,0,0.08308720034289868,0.06418748210535828,0.08303385685691084,0.0830872023475527
12,topk,40,14207,2177,199559,0,0,0.06756449703544334,0.08628984513255405,0.06731127299269588,0.06756449663731352
12,topk,80,16046,338,199687,0,0,0.08805417530305465,0.10155122108575712,0.0846312892064447,0.08805417475565713
12,jumprelu,22,15133,1251,200000,0,0,0.04619831679095245,-0.1333578811225852,0.04622305246651258,0.046198316609447954
12,jumprelu,41,15817,567,200000,0,0,0.06556965563389774,-0.06124810602639615,0.06606586133736465,0.06556965634025375
12,matryoshka,40,27209,5559,199954,0,0,0.017685227527477806,0.02531868932525177,0.017476420099492476,0.017685230298308242
19,relu,20,12643,3741,200000,0,0,0.17162297398151607,0.23197685341382465,0.09656494816190912,0.17162297081774608
19,relu,40,7729,8655,199513,0,0,0.25284449436473333,0.2205442906246599,0.22479311175879108,0.25284449881657844
19,relu,80,5535,10849,200000,0,0,0.3102837691583406,0.2274776039050748,0.29360339214606357,0.31028377120574163
19,topk,20,8924,7460,199361,0,0,0.05324243547250553,0.0739827463055776,0.05332840039855372,0.05324243586238763
19,topk,40,14747,1637,199467,0,0,0.05162051372615956,0.11022760035244303,0.05142030649222633,0.05162051266376281
19,topk,80,16042,342,199955,0,0,0.07027891379995303,0.09786210205723762,0.06523565992847948,0.07027891219228109
19,jumprelu,23,15229,1155,200000,0,0,0.030092676951963816,-0.07383973538663921,0.03121044799106426,0.030092676789056316
19,jumprelu,40,15837,547,200000,0,0,0.04246341800294658,-0.052442745376545155,0.04347468020311887,0.04246341736597309
19,jumprelu,73,16244,140,199812,0,0,0.04706078172294135,-0.020339612713699006,0.04730431563825218,0.047060787043188855
19,matryoshka,40,28606,4162,200000,0,0,0.01000558717007664,-0.004915344408159945,0.010584561605033113,0.01000558405543314
